Season,Episode,Episode Title,Scene,Name,Speaker,House of Speaker,Listener,House of Listener,Interaction,Interaction type,Interaction Score,Interaction Result
Season 1,Episode 1,Winter is Coming,Scene 1,waymar royce,Waymar Royce,Night's Watch,Will,Night's Watch,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Waymar Royce,Night's Watch,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,waymar royce,Waymar Royce,Night's Watch,Will,Night's Watch,How close did you get?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Gared,Night's Watch,Close as any man would.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,We should head back to the wall.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Gared,Night's Watch,Do the dead frighten you?,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Will,Night's Watch,You don't think he'll ask us how they died? Get back on your horse.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Royce,Night's Watch,Whatever did it to them could do it to us. They even killed the children.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Royce,Night's Watch,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,royce,Royce,Night's Watch,Will,Night's Watch,Your dead men seem to have moved camp.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,will,Will,Night's Watch,Gared,Night's Watch,They were here.,Conversation,1,NA
Season 1,Episode 1,Winter is Coming,Scene 1,gared,Gared,Night's Watch,Royce,Night's Watch,See where they went.,Conversation,1,NA
